DEA,FE,SL,CS,CA,CR,IC
22.605,0.018763287,0.014495447,0.248682873,0.354407528,1.166883479,0.541871921
15.873,0.002877288,0.122709573,0.348316861,0.162215638,1.855523932,1.357885261
13.891,0.011750306,0.129789864,0.198041616,0.235228951,1.33868974,6.479166667
75.19,0.014724471,0.002069616,0.158101986,0.392163777,2.955391246,5.027114811
20.215,0.047765555,0.065334547,0.17853392,0.361665631,1.839117708,2.977672715
30.582,0.020029616,0.012410805,0.122626709,0.200574676,1.538654788,0.39860411
6.362,0.059494083,0.287680904,0.205044693,0.149001223,0.935227674,4.523114355
15.994,0.100086754,0.044923397,0.17583672,0.277444254,1.640612828,0.923357664
28.848,0.043997715,0.022239568,0.109811049,0.216990784,1.888610518,1.912307513
16.556,0.066083249,0.056691993,0.19196679,0.170465098,1.995908825,2.662139219
10.524,0.018557385,0.883377919,0.345373073,0.448503018,0.926359469,2.378865308
53.385,0.004117579,0.150269989,0.124996391,0.616492614,3.207773382,12.33257363
47.558,0.009088116,0.036757711,0.168304759,0.537627478,3.190430684,13.55452806
63.069,0.005393932,0.016051833,0.099189647,0.476007273,1.601984944,7.56184573
34.025,0.043481549,0.011850153,0.197822142,0.029626168,2.251529052,2.064347826
74.131,0.008740857,0.028782569,0.109033579,0.352511118,3.744043807,27.21829279
19.598,0.006960937,0.238776986,0.231093277,0.400705788,1.127351269,51.41541176
56.46,0.002514458,0.189643578,0.124633308,0.676581843,2.37861466,23.3
14.95,0.029395797,0.11366344,0.159242763,0.250227696,1.478055526,0.304425493
28.921,0.034816766,0.073181187,0.169547195,0.495913379,2.37937499,5.048488507
13.065,0.024823378,0.416119948,0.213525107,0.341702347,1.142456314,2.229236912
59.303,0.001678544,0.135932697,0.116722308,0.608585662,2.247085945,59.11034004
68.685,0.042944384,0.001061468,0.128374301,0.432527033,2.114086109,1.181123523
55.495,0.026265517,0.09849914,0.095355975,0.57996125,2.610344079,6.873871144
74.831,0.006441473,0.03634009,0.141690069,0.619083466,4.133986486,31.30121377
31.451,0.002769414,0.121707917,0.189356505,0.462378018,1.33510955,17.67293208
98.896,8.06E-05,0.011742197,0.140103999,0.754985677,3.355104542,1459.413043
18.354,0.049778024,0.02471528,0.307158488,0.340210432,2.098498629,0.703688641
42.431,0.001781447,0.338246911,0.169295521,0.660887023,1.88119476,50.71246459
90.868,0.001059281,0.019546005,0.14360171,0.786900074,3.378697171,129.4975845
2.357,0.044822608,0.552377338,0.945644164,0.163066319,1.048667862,2.841584158
23.817,0.007301244,0.406942938,0.200086156,0.522097619,1.654707463,8.128768303
29.014,0.004085805,0.232452119,0.126618037,0.384983336,1.261944784,0.598263615
8.924,0.084553434,0.115380772,0.221689665,0.061717408,1.319691518,2.58817364
7.486,0.014528157,0.389561111,0.741574809,0.423632838,1.181679913,4.785567074
65.918,0.054434163,0.017932024,0.074705797,0.160210811,3.044857647,1.028017568
28.325,0.004828955,0.550303831,0.197891191,0.683414947,2.127066349,24.72266292
10.383,0.033000751,0.498292378,0.173342382,0.243908491,1.23394419,0.650623496
79.006,0.002469703,0.085889305,0.076558958,0.548366702,1.893302417,14.53117177
24.898,0.005468496,0.481656415,0.076007915,0.299549143,1.119947276,1.146564885
85.412,0.000974258,0.082898118,0.101314408,0.69321613,2.407858742,50.68965517
52.879,0.001942646,0.180674816,0.183145236,0.808908836,4.27487625,151.5428571
48.542,0.004858309,0.182693206,0.122326501,0.590898255,2.087935707,0.463529412
48.212,0.001342252,0.368782868,0.161412275,0.658766101,2.936781464,16.84324009
23.654,0.020950335,0.505942746,0.269276545,0.731062533,2.637713879,5.141115103
59.714,0.008748418,0.133591084,0.09559238,0.607031641,4.27378883,24.29065183
22.35,0.02426475,0.170186554,0.113756031,0.261965473,2.131291799,0.372112211
16.848,0.001560836,0.2463281,0.190832971,0.270037223,1.295286768,1.126275684
97.793,0.000755003,0.192934104,0.09658761,0.664151353,4.474773383,241.4378397
10.928,0.020169435,0.689498047,0.416834997,0.475685984,0.858238102,4.316890882
4.531,0.042065491,0.444677204,0.330667506,0.170769549,1.081032184,0.491017964
10.879,0.14790999,0.705687728,0.423491422,0.545995793,1.849247129,1.072679414
77.526,0.000908673,0.469757457,0.089691794,0.620476719,3.141759566,132.9591078
